adj_thresh,num_nodes,num_edges,avg_degree,density,number_connected_components
0.99,7287,0,0.0,0,7287
0.98,7287,0,0.0,0,7287
0.97,7287,2,0.0005489227391244682,7.533938225699536e-08,7285
0.96,7287,4,0.0010978454782489364,1.5067876451399072e-07,7283
0.95,7287,10,0.0027446136956223413,3.766969112849768e-07,7277
0.94,7287,16,0.004391381912995746,6.027150580559629e-07,7271
0.93,7287,24,0.006587072869493619,9.040725870839444e-07,7263
0.92,7287,26,0.007135995608618087,9.794119693409397e-07,7261
0.91,7287,34,0.00933168656511596,1.2807694983689212e-06,7253
0.9,7287,45,0.012350761630300536,1.6951361007823958e-06,7243
0.89,7287,53,0.014546452586798408,1.996493629810377e-06,7235
0.88,7287,68,0.01866337313023192,2.5615389967378423e-06,7223
0.87,7287,83,0.022780293673665433,3.1265843636653075e-06,7210
0.86,7287,93,0.025524907369287773,3.5032812749502846e-06,7203
0.85,7287,113,0.031014134760532455,4.256675097520238e-06,7190
0.84,7287,129,0.0354055166735282,4.859390155576201e-06,7179
0.83,7287,149,0.040894744064772885,5.612783978146155e-06,7167
0.82,7287,174,0.04775627830382874,6.5545262563585965e-06,7146
0.81,7287,207,0.05681350349938246,7.79762606359902e-06,7123
0.8,7287,257,0.07053657197749416,9.681110620023904e-06,7098
0.79,7287,313,0.08590640867297927,1.1790613323219774e-05,7075
0.78,7287,388,0.10649101139014684,1.4615840157857101e-05,7053
0.77,7287,470,0.12899684369425005,1.770475483039391e-05,7030
0.76,7287,575,0.1578152874982846,2.1660072398886168e-05,7003
0.75,7287,677,0.18581034719363249,2.5502380893992932e-05,6973
0.74,7287,809,0.2220392479758474,3.0474780122954625e-05,6951
0.73,7287,952,0.2612872238232469,3.5861545954329794e-05,6919
0.72,7287,1124,0.30849457938795116,4.234073282843139e-05,6885
0.71,7287,1311,0.35981885549608894,4.938496506946046e-05,6852
0.7,7287,1536,0.4215726636475916,5.786064557337244e-05,6817
0.69,7287,1799,0.49375600384245916,6.776777434016733e-05,6779
0.68,7287,2064,0.5664882667764513,7.775024248921922e-05,6739
0.67,7287,2378,0.6526691368189927,8.957852550356749e-05,6698
0.66,7287,2748,0.7542198435570193,0.00010351631122111163,6659
0.65,7287,3139,0.8615342390558529,0.00011824516045235422,6630
0.64,7287,3616,0.9924523123370386,0.00013621360312064763,6604
0.63,7287,4156,1.140661451900645,0.00015655523633003636,6560
0.62,7287,4768,1.3086318100727323,0.00017960908730067695,6523
0.61,7287,5416,1.4864827775490599,0.00020401904715194345,6490
0.6,7287,6136,1.6840949636338685,0.0002311412247644618,6441
