adj_thresh,num_nodes,num_edges,avg_degree,density,number_connected_components
1.0,7287,1,0.0002744613695622341,3.766969112849768e-08,7286
0.99,7287,1,0.0002744613695622341,3.766969112849768e-08,7286
0.98,7287,1,0.0002744613695622341,3.766969112849768e-08,7286
0.97,7287,1,0.0002744613695622341,3.766969112849768e-08,7286
0.96,7287,2,0.0005489227391244682,7.533938225699536e-08,7285
0.95,7287,2,0.0005489227391244682,7.533938225699536e-08,7285
0.94,7287,2,0.0005489227391244682,7.533938225699536e-08,7285
0.93,7287,2,0.0005489227391244682,7.533938225699536e-08,7285
0.92,7287,2,0.0005489227391244682,7.533938225699536e-08,7285
0.91,7287,3,0.0008233841086867024,1.1300907338549305e-07,7284
0.9,7287,3,0.0008233841086867024,1.1300907338549305e-07,7284
0.89,7287,3,0.0008233841086867024,1.1300907338549305e-07,7284
0.88,7287,4,0.0010978454782489364,1.5067876451399072e-07,7283
0.87,7287,4,0.0010978454782489364,1.5067876451399072e-07,7283
0.86,7287,4,0.0010978454782489364,1.5067876451399072e-07,7283
0.85,7287,5,0.0013723068478111707,1.883484556424884e-07,7282
0.84,7287,5,0.0013723068478111707,1.883484556424884e-07,7282
0.83,7287,6,0.0016467682173734047,2.260181467709861e-07,7281
0.82,7287,6,0.0016467682173734047,2.260181467709861e-07,7281
0.81,7287,7,0.0019212295869356388,2.6368783789948376e-07,7280
0.8,7287,7,0.0019212295869356388,2.6368783789948376e-07,7280
0.79,7287,8,0.002195690956497873,3.0135752902798145e-07,7279
0.78,7287,11,0.003019075065184575,4.143666024134745e-07,7276
0.77,7287,16,0.004391381912995746,6.027150580559629e-07,7271
0.76,7287,21,0.005763688760806916,7.910635136984513e-07,7266
0.75,7287,22,0.00603815013036915,8.28733204826949e-07,7265
0.74,7287,23,0.006312611499931385,8.664028959554467e-07,7264
0.73,7287,27,0.007410456978180321,1.0170816604694375e-06,7260
0.72,7287,32,0.008782763825991491,1.2054301161119258e-06,7255
0.71,7287,35,0.009606147934678195,1.318439189497419e-06,7253
0.7,7287,40,0.010978454782489365,1.5067876451399073e-06,7248
0.69,7287,43,0.011801838891176067,1.6197967185254004e-06,7245
0.68,7287,46,0.01262522299986277,1.7328057919108934e-06,7242
0.67,7287,52,0.014271991217236175,1.9588239386818793e-06,7236
0.66,7287,58,0.01591875943460958,2.1848420854528657e-06,7233
0.65,7287,61,0.01674214354329628,2.2978511588383586e-06,7231
0.64,7287,63,0.01729106628242075,2.373190541095354e-06,7231
0.63,7287,67,0.018388911760669684,2.523869305609345e-06,7227
0.62,7287,73,0.02003567997804309,2.749887452380331e-06,7222
0.61,7287,80,0.02195690956497873,3.0135752902798146e-06,7216
0.6,7287,88,0.0241526005214766,3.314932819307796e-06,7209
0.59,7287,101,0.027720598325785644,3.804638803978266e-06,7196
0.58,7287,111,0.03046521202140799,4.181335715263243e-06,7188
0.57,7287,124,0.03403320982571703,4.671041699933713e-06,7179
0.56,7287,142,0.03897351447783724,5.3490961402466705e-06,7164
0.55,7287,151,0.04144366680389735,5.68812336040315e-06,7159
0.54,7287,170,0.0466584328255798,6.403847491844606e-06,7147
0.53,7287,186,0.05104981473857555,7.006562549900569e-06,7138
0.52,7287,210,0.05763688760806916,7.910635136984514e-06,7123
0.51,7287,243,0.06669411280362289,9.153734944224936e-06,7102
0.5,7287,291,0.07986825854261012,1.0961880118392825e-05,7083
0.49,7287,350,0.09606147934678194,1.318439189497419e-05,7055
0.48,7287,416,0.1141759297378894,1.5670591509455035e-05,7035
0.47,7287,505,0.13860299162892822,1.902319401989133e-05,7005
0.46,7287,608,0.16687251269383835,2.290317220612659e-05,6977
0.45,7287,715,0.1962398792369974,2.6933829156875844e-05,6946
0.44,7287,857,0.23521339371483463,3.228292529712251e-05,6910
0.43,7287,1027,0.2818718265404144,3.868677278896712e-05,6877
0.42,7287,1253,0.34390009606147937,4.7200122984007596e-05,6834
0.41,7287,1541,0.42294497049540275,5.804899402901493e-05,6782
0.4,7287,1894,0.5198298339508715,7.134639499737462e-05,6722
0.39,7287,2281,0.6260463839714561,8.592456546410321e-05,6667
0.38,7287,2772,0.760806916426513,0.00010442038380819557,6610
0.37,7287,3362,0.9227391244682311,0.0001266455015740092,6556
0.36,7287,4085,1.1211746946617263,0.00015388068825991302,6491
0.35,7287,4958,1.3607794702895568,0.0001867663286150915,6436
0.34,7287,6109,1.6766845066556881,0.00023012414310399234,6366
0.33,7287,7451,2.0450116646082064,0.0002806768685984362,6284
0.32,7287,8992,2.4679566351036093,0.00033872586262745114,6177
0.31,7287,10862,2.9811993961849867,0.0004091681850377418,6072
0.3,7287,13171,3.6149306985041854,0.000496147501853443,5952
0.29,7287,15964,4.381501303691506,0.000601358949175337,5810
0.28,7287,19352,5.311376423768355,0.0007289838627186872,5685
0.27,7287,23514,6.453684643886373,0.0008857651171954945,5535
0.26,7287,28580,7.844105942088651,0.0010765997724524637,5384
0.25,7287,34337,9.424180046658433,0.001293464184279225,5236
0.24,7287,41413,11.366268697680802,0.0015600149187044744,5063
0.23,7287,50021,13.728832166872513,0.0018842756199385826,4889
0.22,7287,60404,16.57856456703719,0.002275400022925774,4684
