adj_thresh,num_nodes,num_edges,avg_degree,density,number_connected_components
1.0,7287,1,0.0002744613695622341,3.766969112849768e-08,7286
0.99,7287,2,0.0005489227391244682,7.533938225699536e-08,7285
0.98,7287,3,0.0008233841086867024,1.1300907338549305e-07,7284
0.97,7287,9,0.002470152326060107,3.3902722015647913e-07,7278
0.96,7287,15,0.004116920543433511,5.650453669274652e-07,7272
0.95,7287,24,0.006587072869493619,9.040725870839444e-07,7263
0.94,7287,26,0.007135995608618087,9.794119693409397e-07,7261
0.93,7287,33,0.009057225195553726,1.2430998072404236e-06,7254
0.92,7287,43,0.011801838891176067,1.6197967185254004e-06,7245
0.91,7287,52,0.014271991217236175,1.9588239386818793e-06,7236
0.9,7287,67,0.018388911760669684,2.523869305609345e-06,7224
0.89,7287,77,0.021133525456292025,2.9005662168943216e-06,7215
0.88,7287,89,0.024427061891038836,3.352602510436294e-06,7205
0.87,7287,112,0.03073967339097022,4.21900540639174e-06,7191
0.86,7287,125,0.03430767119527926,4.70871139106221e-06,7182
0.85,7287,143,0.03924797584739948,5.386765831375169e-06,7170
0.84,7287,160,0.04391381912995746,6.027150580559629e-06,7157
0.83,7287,196,0.053794428434197884,7.3832594611855454e-06,7129
0.82,7287,241,0.06614519006449843,9.078395561967941e-06,7104
0.81,7287,297,0.08151502675998354,1.1187898265163811e-05,7085
0.8,7287,356,0.09770824756415535,1.3410410041745175e-05,7061
0.79,7287,432,0.11856731165088513,1.6273306567511e-05,7042
0.78,7287,528,0.14491560312885962,1.9889596915846777e-05,7015
0.77,7287,636,0.1745574310415809,2.3957923557724527e-05,6987
0.76,7287,747,0.2050226430629889,2.813925927298777e-05,6961
0.75,7287,868,0.23823246878001922,3.269729189953599e-05,6938
0.74,7287,1036,0.28434197886647455,3.90258000091236e-05,6901
0.73,7287,1203,0.33017702758336764,4.531663842758271e-05,6872
0.72,7287,1430,0.3924797584739948,5.386765831375169e-05,6831
0.71,7287,1660,0.4556058734733086,6.253168727330615e-05,6797
0.7,7287,1904,0.5225744476464937,7.172309190865959e-05,6763
0.69,7287,2188,0.6005214766021683,8.242128418915293e-05,6724
0.68,7287,2505,0.6875257307533965,9.43625762768867e-05,6684
0.67,7287,2896,0.79484012625223,0.00010909142550812929,6646
0.66,7287,3303,0.9065459036640593,0.00012442298979742784,6620
